LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,312,0,99,0.000,1.500,10.729,0.000,0.681,1.3000
0,309,0.4,99,0.000,1.100,11.131,0.000,0.662,NaN
0,308,0.6,99,0.000,0.700,11.154,0.000,0.643,NaN
0,306,0.6,99,1.000,0.300,11.176,0.000,0.624,NaN
0,305,0.8,99,2.000,0.200,10.662,0.000,0.620,NaN
0,304,1.4,98.9,5.000,0.100,10.148,0.000,0.615,NaN
0,305,1.6,99,9.000,0.100,8.561,0.000,0.615,NaN
0,305,1.6,99,10.000,0.100,6.974,0.000,0.615,NaN
0,306,2.4,99,19.000,0.100,7.242,0.000,0.615,NaN
0,303,2,99,25.000,0.000,7.510,0.000,0.611,NaN
0,303,1,99,33.000,0.000,7.220,0.000,0.611,NaN
0,304,1.4,98.9,49.000,0.000,6.929,0.000,0.611,NaN
0,307,0.4,98.8,49.000,0.000,6.929,0.000,0.611,NaN
0,306,1.2,98.7,45.000,0.000,6.929,0.000,0.611,NaN
0,305,0.6,98.7,56.000,0.000,6.951,0.000,0.611,NaN
0,305,0.6,98.6,70.000,0.000,6.974,0.000,0.611,NaN
0,304,0.4,98.6,46.000,0.000,6.683,0.000,0.611,NaN
0,305,0.8,98.5,47.000,0.100,6.393,0.000,0.615,NaN
0,305,0,98.5,31.000,0.100,6.035,0.000,0.615,NaN
0,304,0.2,98.6,18.000,0.000,5.677,0.000,0.611,NaN
0,304,0,98.5,10.000,0.000,5.812,0.000,0.611,NaN
0,304,0,98.5,3.000,0.000,5.946,0.000,0.611,NaN
0,304,0,98.5,0.000,0.000,5.834,0.000,0.611,NaN
0,304,0,98.5,0.000,0.000,5.722,0.000,0.611,NaN
0,304,0,98.4,0.000,-0.100,5.633,0.000,0.607,NaN
0,305,0,98.4,0.000,-0.300,5.543,0.000,0.598,NaN
0,307,0,98.4,0.000,-0.300,5.052,0.000,0.598,NaN
0,309,0,98.4,0.000,-0.300,4.560,0.000,0.598,NaN
