LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,307,0,99.3,0,-0.200000003,6.124448,0.098754913,0.503426412,0.352420204
0,307,0,99.3,0,-0.200000003,6.169152,0.092733282,0.509448042,0.358189894
0,307,0,99.3,0,-0.300000012,6.213856,0.0830926,0.514721815,0.324653662
0,306,0,99.3,0,-0.400000006,6.1468,0.077147347,0.516328237,0.284604989
0,306,0,99.3,0,-0.400000006,6.079744,0.089016157,0.504459426,0.310805405
0,306,0,99.3,0,-0.400000006,6.59384,0.089016157,0.504459426,0.367151195
0,306,0,99.3,0,-0.5,7.107936,0.087190026,0.501974647,0.328785645
0,306,0,99.4,0,-0.5,6.772656,0.104863691,0.484300982,0.366606056
0,306,0,99.4,0,-0.600000024,6.437376,0.111117744,0.473763783,0.396988665
0,305,0,99.4,0,-0.699999988,6.124448,0.099276847,0.481349149,0.326955655
0,304,0,99.4,0,-0.800000012,5.81152,0.100281441,0.476116477,0.305614136
0,304,0,99.4,0,-0.899999976,6.102096,0.108702993,0.463494156,0.335261092
0,304,0,99.4,2,-0.899999976,6.392672,0.116712689,0.45548446,0.315436206
0,304,0,99.5,12,-0.899999976,5.900928,0.133876336,0.438320813,0.349141805
0,305,0,99.5,24,-0.899999976,5.409184,0.133876336,0.438320813,0.298663691
0,305,0,99.6,34,-0.899999976,5.47624,0.129871476,0.442325673,0.333016516
0,305,0,99.6,47,-0.899999976,5.543296,0.121861815,0.450335334,0.369052842
0,305,0,99.6,66,-1,4.962144,0.1186993,0.449324229,0.298328678
0,306,0,99.5,113,-0.899999976,4.380992,0.140169656,0.432027493,0.235796523
0,306,0,99.5,121,-0.899999976,4.202176,0.141313887,0.430883262,0.232594067
0,306,0,99.4,121,-1,4.02336,0.136873364,0.431150165,0.308544972
0,306,0,99.4,98,-1,3.956304,0.12778635,0.440237179,0.257681975
0,305,0,99.3,116,-1.200000048,3.889248,0.120885849,0.438871291,0.284956137
0,305,0,99.3,129,-1.200000048,3.732784,0.12816143,0.43159571,0.232163735
0,306,0,99.2,103,-1.100000024,3.57632,0.127979088,0.435897822,0.237065392
0,306,0,99.2,91,-0.899999976,4.224528,0.121289635,0.450907514,0.255147016
0,307,0,99.2,79,-0.699999988,4.872736,0.119596648,0.461029347,0.321247568
0,307,0,99.2,68,-0.600000024,4.828032,0.123983979,0.460897548,0.305614136
0,306,0,99.2,43,-0.699999988,4.783328,0.118435538,0.462190458,0.289654967
0,305,0,99.2,24,-0.800000012,4.626864,0.112960672,0.463437246,0.286879766
0,305,0,99.2,10,-0.800000012,4.4704,0.103163087,0.473234831,0.304630924
0,304,0,99.2,1,-0.899999976,4.783328,0.097260588,0.474936561,0.253574447
0,304,0,99.2,0,-0.899999976,5.096256,0.080669051,0.491528098,0.233666429
0,304,0,99.1,0,-0.800000012,5.431536,0.070888609,0.50550931,0.245967478
0,304,0,99.1,0,-0.899999976,5.766816,0.074375731,0.497821418,0.348855271
0,303,0,99.1,0,-1.100000024,6.079744,0.068781704,0.495095206,0.38301436
0,303,0,99,0,-1.200000048,6.392672,0.06044296,0.49931418,0.404227659
0,303,0,98.9,0,-1.200000048,6.459728,0.061002606,0.498754534,0.415571895
